plot_id,zone_code,ward_code,current_use,plot_area_sqm,max_far,max_height_m,zoning_block_id,owner_name,household_size,income_band,occupancy_type,tenure_years,zoning_block_final,status_vs_0,status
PLT00001,RZ_PARK,WARD_08,RESIDENTIAL,902.8,0.5,9,0,Divya Reddy,3,HIGH,RENTED,9,1,Same zoning block,GREEN_BUFFER
PLT00002,RZ_PARK,WARD_48,PARK_OPEN_SPACE,150.0,0.5,9,0,Raghav Shetty,2,LOW,GOVT_QUARTERS,12,1,Same zoning block,GREEN_BUFFER
PLT00003,RZ_RES_LOW,WARD_33,PARK_OPEN_SPACE,89.8,1.7,25.0,0,Kiran Shetty,5,HIGH,OWNED,24,3,Same zoning block,STABLE_CLUSTER
PLT00004,RZ_RES_HIGH,WARD_01,RESIDENTIAL,338.3,1.84,17.0,0,Meera Iyer,2,LOW,OWNED,9,3,Same zoning block,STABLE_CLUSTER
PLT00005,RZ_RES_HIGH,WARD_23,PARK_OPEN_SPACE,177.9,1.54,22.0,0,Ananya Naidu,5,LOW,RENTED,15,5,Same zoning block,STABLE_CLUSTER
PLT00006,RZ_PARK,WARD_40,APARTMENT_BLOCK,714.0,0.5,9,0,Ananya Naidu,2,HIGH,OWNED,8,5,Same zoning block,GREEN_BUFFER
PLT00007,RZ_RES_LOW,WARD_07,APARTMENT_BLOCK,182.9,2.14,20.0,0,Meera Iyer,4,HIGH,RENTED,14,7,Same zoning block,STABLE_CLUSTER
PLT00008,RZ_PARK,WARD_44,PARK_OPEN_SPACE,132.1,0.5,9,0,Vikram Sharma,3,HIGH,GOVT_QUARTERS,20,7,Same zoning block,GREEN_BUFFER
PLT00009,RZ_RES_HIGH,WARD_18,PARK_OPEN_SPACE,334.6,1.72,20.0,0,Raghav Rao,3,LOW,OWNED,18,9,Same zoning block,STABLE_CLUSTER
PLT00010,RZ_RES_HIGH,WARD_05,RESIDENTIAL,417.9,2.07,26.0,0,Divya Reddy,7,UPPER_MID,OWNED,34,9,Same zoning block,STABLE_CLUSTER
