| plot_id   | zone_code     | ward_code   | current_use      |   plot_area_sqm |   max_far |   max_height_m |   zoning_block_id | owner_name      |   household_size | income_band   | occupancy_type   |   tenure_years |   zoning_block_final | status_vs_0             | status          |
|:----------|:--------------|:------------|:-----------------|----------------:|----------:|---------------:|------------------:|:----------------|-----------------:|:--------------|:-----------------|---------------:|---------------------:|:------------------------|:----------------|
| PLT00001  | RZ_RES_LOW    | WARD_21     | RESIDENTIAL      |            88   |      1.91 |             17 |                 0 | Raghav Rao      |                6 | LOW           | GOVT_QUARTERS    |             13 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00002  | RZ_RES_LOW    | WARD_02     | RESIDENTIAL      |           110   |      1.85 |             29 |                 0 | Ananya Naidu    |                2 | HIGH          | OWNED            |             14 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00003  | RZ_RES_HIGH   | WARD_19     | APARTMENT_BLOCK  |           339   |      1.51 |             15 |                 0 | Ashwin Shetty   |                3 | MID           | OWNED            |             30 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00004  | RZ_RES_HIGH   | WARD_25     | APARTMENT_BLOCK  |           112.7 |      2.07 |             21 |                 0 | Divya Reddy     |                3 | LOW           | GOVT_QUARTERS    |             14 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00005  | RZ_RES_LOW    | WARD_18     | RESIDENTIAL      |           391.4 |      2.07 |             27 |                 0 | Vikram Reddy    |                7 | UPPER_MID     | GOVT_QUARTERS    |              6 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00006  | RZ_RES_LOW    | WARD_23     | RESIDENTIAL      |            94.7 |      1.84 |             19 |                 0 | Meera Iyer      |                7 | LOW           | RENTED           |              8 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00007  | RZ_PARK       | WARD_15     | PARK_OPEN_SPACE  |          1025.8 |      0.5  |              9 |                 0 | Raghav Shetty   |                3 | MID           | GOVT_QUARTERS    |              8 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00008  | RZ_PARK       | WARD_23     | PARK_OPEN_SPACE  |           830.4 |      0.5  |              9 |                 0 | Priya Sharma    |                5 | MID           | OWNED            |             14 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00009  | RZ_RES_HIGH   | WARD_13     | APARTMENT_BLOCK  |           396.6 |      2.46 |             27 |                 0 | Kiran Shetty    |                7 | LOW           | OWNED            |             26 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00010  | RZ_RES_HIGH   | WARD_02     | APARTMENT_BLOCK  |           208.4 |      1.6  |             28 |                 0 | Divya Iyer      |                6 | HIGH          | RENTED           |             28 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00011  | RZ_PARK       | WARD_30     | PARK_OPEN_SPACE  |           631.8 |      0.5  |              9 |                 0 | Vikram Sharma   |                2 | UPPER_MID     | GOVT_QUARTERS    |             18 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00012  | RZ_COMM_MAIN  | WARD_14     | COMMERCIAL_MIXED |           275.7 |      2.44 |             19 |                 0 | Rahul Murthy    |                1 | LOW           | OWNED            |              4 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00013  | RZ_RES_MED    | WARD_21     | RESIDENTIAL      |           333.5 |      2.13 |             12 |                 0 | Ashwin Patil    |                5 | HIGH          | GOVT_QUARTERS    |              8 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00014  | RZ_RES_LOW    | WARD_18     | RESIDENTIAL      |           297.7 |      1.67 |             27 |                 0 | Vikram Shetty   |                1 | UPPER_MID     | RENTED           |              5 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00015  | RZ_RES_LOW    | WARD_15     | RESIDENTIAL      |           385.2 |      2.81 |             18 |                 0 | Rahul Sharma    |                5 | LOW           | GOVT_QUARTERS    |              9 |                    0 | Same zoning block       | STABLE_CLUSTER  |
| PLT00016  | RZ_PARK       | WARD_27     | PARK_OPEN_SPACE  |           683   |      0.5  |              9 |                 0 | Kiran Sharma    |                3 | MID           | GOVT_QUARTERS    |             30 |                    0 | Same zoning block       | GREEN_BUFFER    |
| PLT00017  | RZ_COMM_MAIN  | WARD_25     | COMMERCIAL_MIXED |           556   |      3.2  |             30 |                 0 | Ananya Rao      |                3 | UPPER_MID     | OWNED            |              1 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00018  | RZ_COMM_MAIN  | WARD_08     | COMMERCIAL_MIXED |           571.4 |      2.17 |             30 |                 0 | Meera Naidu     |                7 | MID           | OWNED            |             21 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
| PLT00019  | RZ_COMM_MAIN  | WARD_16     | COMMERCIAL_MIXED |           149.2 |      3.06 |             34 |                 0 | Ashwin Iyer     |                5 | MID           | GOVT_QUARTERS    |              9 |                    0 | Same zoning block       | HIGH_ACTIVITY   |
