business_id,name,category,revenue,location,rating,priority
B0001,Pooja Deshmukh,Chocolate,427067.79,South,3.01,1
B0002,Pranav Iyer,Manufacturing,82711.04,South,1.15,4
B0003,Sanjana Rao,Food Processing,258256.98,Central,1.5,10
B0004,Kiran Shinde,Manufacturing,734539.14,North,4.05,10
B0005,Riya Kulkarni,Food Processing,93180.0,East,2.42,9
B0006,Aditya Mehta,Manufacturing,394454.31,Central,1.61,2
B0007,Sanjana Rao,Chocolate,746579.1,South,3.83,5
B0008,Kiran Shinde,Chocolate,410968.12,West,3.19,4
B0009,Karthik Patil,Chocolate,585616.08,Central,2.16,9
B0010,Megha Kapoor,Chocolate,513362.71,North,2.43,6
B0011,Pooja Deshmukh,Food Processing,775537.63,South,4.09,4
B0012,Karthik Patil,Chocolate,716246.24,East,4.5,3
B0013,Aditi Kulkarni,Manufacturing,69352.41,West,4.29,2
B0014,Sanjana Rao,Food Processing,420460.92,Central,1.56,9
B0015,Karthik Patil,Food Processing,716125.04,South,1.87,7
B0016,Pranav Iyer,Manufacturing,622913.84,North,4.29,2
B0017,Riya Kulkarni,Food Processing,456472.23,West,4.32,7
B0018,Manoj Rao,Chocolate,463224.99,East,4.77,4
B0019,Arjun Shetty,Manufacturing,643391.17,West,4.3,10
B0020,Megha Kapoor,Food Processing,104912.99,North,1.6,7
B0021,Karthik Patil,Food Processing,303944.81,South,1.41,2
B0022,Manoj Rao,Chocolate,722795.4,West,3.67,5
B0023,Megha Kapoor,Food Processing,772136.85,East,4.36,8
B0024,Pooja Deshmukh,Chocolate,799021.41,North,4.05,9
B0025,Riya Kulkarni,Food Processing,418269.57,South,1.22,9
B0026,Karthik Patil,Manufacturing,366124.07,Central,4.65,6
B0027,Manoj Rao,Manufacturing,381783.63,North,1.23,1
B0028,Sanjana Rao,Manufacturing,578533.73,South,1.21,5
B0029,Arjun Shetty,Manufacturing,102964.39,North,3.42,1
B0030,Ananya Hegde,Manufacturing,385343.8,South,2.2,9
B0031,Megha Kapoor,Chocolate,466719.41,North,2.23,8
B0032,Rohan Jain,Food Processing,562262.99,Central,3.19,4
