business_id,name,category,revenue,location,rating,priority
B0001,Pooja Deshmukh,Agro Logistics,286134.64,Central,4.14,10
B0002,Kiran Shinde,Agro Logistics,763614.11,Central,2.75,8
B0003,Riya Kulkarni,Warehouse,502961.44,North,2.68,7
B0004,Rohan Jain,Agro Logistics,100687.28,South,2.82,6
B0005,Sneha Joshi,Warehouse,220248.11,North,3.12,8
B0006,Aditya Mehta,Cold Storage,62184.7,Central,3.96,4
B0007,Neha Iyer,Cold Storage,89190.24,West,2.66,7
B0008,Aditi Kulkarni,Agro Logistics,109802.62,South,1.23,8
B0009,Aditi Kulkarni,Agro Logistics,160046.47,West,1.84,2
B0010,Pranav Iyer,Agro Logistics,427656.34,Central,3.66,5
B0011,Ananya Hegde,Agro Logistics,174702.12,North,2.98,9
B0012,Pooja Deshmukh,Agro Logistics,595184.89,Central,3.87,5
B0013,Neha Iyer,Agro Logistics,781623.16,Central,1.59,6
B0014,Aditya Mehta,Warehouse,707858.1,North,1.17,2
B0015,Manoj Rao,Cold Storage,358933.89,East,1.3,4
B0016,Manoj Rao,Cold Storage,128915.59,North,4.59,9
B0017,Aditya Mehta,Agro Logistics,177719.1,Central,3.72,10
B0018,Pooja Deshmukh,Warehouse,677768.85,South,2.15,3
B0019,Pooja Deshmukh,Agro Logistics,118114.52,East,2.6,2
B0020,Megha Kapoor,Cold Storage,469251.31,South,4.33,3
B0021,Sanjana Rao,Cold Storage,163831.25,North,1.76,7
B0022,Pooja Deshmukh,Agro Logistics,87752.93,South,3.13,4
B0023,Arjun Shetty,Agro Logistics,495066.62,East,4.47,4
B0024,Riya Kulkarni,Cold Storage,361004.48,Central,1.84,8
B0025,Sanjana Rao,Warehouse,167934.85,Central,1.71,3
B0026,Megha Kapoor,Agro Logistics,764887.46,North,2.87,5
B0027,Sanjana Rao,Warehouse,668097.98,West,1.95,8
B0028,Manoj Rao,Warehouse,538785.59,South,4.08,3
B0029,Sneha Joshi,Agro Logistics,272744.41,South,3.09,10
B0030,Ananya Hegde,Warehouse,707374.23,West,4.98,10
B0031,Riya Kulkarni,Cold Storage,87711.5,Central,1.72,6
B0032,Aditya Mehta,Agro Logistics,555439.36,South,1.78,9
B0033,Neha Iyer,Warehouse,556639.19,South,4.82,5
B0034,Manoj Rao,Agro Logistics,347089.72,West,3.02,7
B0035,Manoj Rao,Agro Logistics,425684.32,Central,3.92,2
B0036,Manoj Rao,Warehouse,443565.16,North,3.17,2
B0037,Aditya Mehta,Cold Storage,491699.72,East,4.11,4
B0038,Megha Kapoor,Warehouse,614472.42,South,3.49,9
B0039,Riya Kulkarni,Warehouse,401050.1,South,3.5,8
