business_id,name,category,revenue,location,rating,priority
B0001,Arjun Shetty,E-Waste,79196.33,East,4.39,2
B0002,Ananya Hegde,E-Waste,366113.94,West,2.67,4
B0003,Aditya Mehta,E-Waste,632276.01,South,1.62,3
B0004,Neha Iyer,Manufacturing,622518.0,Central,2.68,2
B0005,Pooja Deshmukh,Recycling,507007.99,South,2.95,2
B0006,Arjun Shetty,Recycling,686488.28,South,4.24,9
B0007,Manoj Rao,E-Waste,86913.32,East,2.49,3
B0008,Aditya Mehta,Manufacturing,615513.92,West,4.55,9
B0009,Kiran Shinde,Manufacturing,370092.25,West,3.67,7
B0010,Pranav Iyer,E-Waste,317019.62,West,4.35,6
B0011,Ananya Hegde,Recycling,129051.28,West,4.77,5
B0012,Neha Iyer,Recycling,380401.15,South,4.81,2
B0013,Kiran Shinde,Manufacturing,607145.87,West,1.34,1
B0014,Karthik Patil,Recycling,715319.05,West,1.22,6
B0015,Riya Kulkarni,Recycling,358255.88,North,2.38,4
B0016,Aditya Mehta,Manufacturing,403733.32,West,3.52,2
B0017,Riya Kulkarni,Recycling,794125.68,East,2.2,6
B0018,Rohan Jain,Manufacturing,188885.21,North,1.36,9
B0019,Rohan Jain,Recycling,204405.74,East,1.59,3
B0020,Ananya Hegde,Recycling,278186.82,East,2.37,2
B0021,Megha Kapoor,Recycling,586400.27,East,4.95,4
B0022,Pooja Deshmukh,Manufacturing,492720.99,West,3.48,3
B0023,Pooja Deshmukh,Manufacturing,499109.84,East,3.85,6
B0024,Riya Kulkarni,E-Waste,519056.35,East,1.37,6
B0025,Pooja Deshmukh,E-Waste,254930.75,West,3.21,2
B0026,Riya Kulkarni,Manufacturing,465336.83,Central,4.19,6
B0027,Arjun Shetty,E-Waste,420704.91,North,3.52,10
B0028,Aditya Mehta,Manufacturing,364500.82,South,3.84,5
B0029,Pooja Deshmukh,Recycling,582184.3,North,2.62,9
B0030,Sanjana Rao,Recycling,270823.36,Central,1.29,8
B0031,Pooja Deshmukh,Recycling,621738.6,South,2.94,7
B0032,Kiran Shinde,Manufacturing,467794.82,North,4.98,3
B0033,Manoj Rao,Recycling,686689.84,East,4.44,10
B0034,Aditi Kulkarni,E-Waste,663478.72,West,2.98,6
B0035,Manoj Rao,Recycling,158393.77,South,2.9,6
B0036,Aditya Mehta,Manufacturing,649617.59,West,4.14,3
B0037,Ananya Hegde,Recycling,584887.22,West,1.74,9
B0038,Kiran Shinde,Manufacturing,694541.16,North,2.03,9
B0039,Megha Kapoor,Recycling,455172.81,North,2.75,4
B0040,Pranav Iyer,Manufacturing,292388.94,West,2.21,7
B0041,Pranav Iyer,Recycling,377311.53,North,2.56,8
B0042,Kiran Shinde,E-Waste,212254.94,Central,1.62,7
B0043,Sneha Joshi,Recycling,422296.48,East,3.08,10
B0044,Pranav Iyer,Manufacturing,610875.21,Central,1.09,7
B0045,Aditya Mehta,Manufacturing,796400.16,North,4.77,6
B0046,Aditya Mehta,E-Waste,247462.63,North,3.57,6
