business_id,name,category,revenue,location,rating,priority
B0001,Sneha Joshi,Quick Commerce,203391.48,South,1.1,1
B0002,Megha Kapoor,Food Delivery,243676.53,East,3.89,5
B0003,Manoj Rao,Food Delivery,236800.71,South,3.72,2
B0004,Sneha Joshi,Food Delivery,71215.0,West,4.03,1
B0005,Arjun Shetty,Quick Commerce,417079.2,South,4.43,6
B0006,Arjun Shetty,Food Delivery,165722.0,North,2.27,5
B0007,Riya Kulkarni,Food Delivery,201104.5,East,3.77,3
B0008,Aditi Kulkarni,Food Delivery,218386.97,North,1.92,7
B0009,Sneha Joshi,Food Delivery,227425.99,South,1.6,8
B0010,Neha Iyer,Food Delivery,202760.84,West,2.48,3
B0011,Neha Iyer,Food Delivery,144859.74,North,1.64,5
B0012,Pooja Deshmukh,Logistics,415248.78,North,1.59,2
B0013,Aditi Kulkarni,Food Delivery,396165.59,East,1.22,4
B0014,Pranav Iyer,Quick Commerce,498967.47,South,3.44,9
B0015,Ananya Hegde,Food Delivery,396626.99,Central,3.94,4
B0016,Neha Iyer,Logistics,582902.69,West,2.26,10
B0017,Pranav Iyer,Quick Commerce,221907.67,West,1.3,3
B0018,Ananya Hegde,Logistics,610015.32,North,4.0,6
B0019,Neha Iyer,Logistics,729324.58,East,1.32,8
B0020,Neha Iyer,Logistics,365479.68,North,4.88,9
B0021,Pooja Deshmukh,Quick Commerce,134445.3,North,2.69,2
B0022,Riya Kulkarni,Food Delivery,293762.68,Central,2.42,10
B0023,Pooja Deshmukh,Logistics,121388.52,West,3.39,5
B0024,Pooja Deshmukh,Food Delivery,372422.66,West,2.37,10
B0025,Aditya Mehta,Quick Commerce,327305.88,West,4.53,7
B0026,Pranav Iyer,Food Delivery,108587.88,North,3.53,5
B0027,Sneha Joshi,Quick Commerce,167314.1,Central,3.64,3
B0028,Megha Kapoor,Logistics,466784.72,East,4.14,6
B0029,Riya Kulkarni,Food Delivery,723998.27,South,1.56,2
B0030,Sneha Joshi,Quick Commerce,122019.63,East,1.68,8
B0031,Riya Kulkarni,Logistics,613595.26,Central,4.3,1
B0032,Arjun Shetty,Quick Commerce,79484.67,North,1.3,7
B0033,Sanjana Rao,Food Delivery,692936.18,North,4.35,2
B0034,Sneha Joshi,Quick Commerce,693595.48,East,2.83,9
B0035,Riya Kulkarni,Food Delivery,722072.09,West,1.6,2
B0036,Sneha Joshi,Logistics,416207.59,West,4.69,5
B0037,Aditi Kulkarni,Quick Commerce,714735.87,East,3.2,3
B0038,Karthik Patil,Quick Commerce,769219.89,North,1.41,3
B0039,Pranav Iyer,Food Delivery,779460.94,East,1.26,8
B0040,Aditi Kulkarni,Logistics,287939.39,South,1.57,6
B0041,Aditya Mehta,Quick Commerce,561649.62,South,4.37,3
B0042,Megha Kapoor,Logistics,309994.85,South,1.3,9
B0043,Pranav Iyer,Logistics,51445.45,North,4.31,5
B0044,Megha Kapoor,Logistics,348393.94,Central,4.02,4
B0045,Karthik Patil,Logistics,439027.44,North,3.65,7
B0046,Kiran Shinde,Food Delivery,727760.62,East,2.12,6
B0047,Pranav Iyer,Food Delivery,132762.68,North,1.02,2
B0048,Sanjana Rao,Logistics,82353.22,East,3.31,8
B0049,Rohan Jain,Food Delivery,650705.36,West,3.31,10
B0050,Sanjana Rao,Quick Commerce,244824.11,Central,2.8,8
B0051,Karthik Patil,Quick Commerce,522403.52,South,3.57,9
B0052,Megha Kapoor,Quick Commerce,350049.13,North,3.06,4
B0053,Arjun Shetty,Quick Commerce,569223.28,East,2.69,1
B0054,Pranav Iyer,Food Delivery,698164.69,Central,3.03,6
B0055,Neha Iyer,Quick Commerce,395048.8,East,4.72,9
B0056,Manoj Rao,Logistics,779119.06,North,2.53,10
B0057,Arjun Shetty,Food Delivery,151946.58,West,2.25,2
B0058,Sanjana Rao,Food Delivery,616543.21,West,3.71,1
B0059,Ananya Hegde,Logistics,174426.33,East,2.22,6
B0060,Arjun Shetty,Quick Commerce,329363.3,West,4.27,6
B0061,Pooja Deshmukh,Logistics,186393.18,South,3.7,10
B0062,Riya Kulkarni,Quick Commerce,334540.43,West,1.5,3
B0063,Sneha Joshi,Quick Commerce,151583.95,Central,1.53,9
B0064,Neha Iyer,Food Delivery,265041.98,North,4.01,9
B0065,Sneha Joshi,Logistics,743781.57,North,1.25,2
B0066,Ananya Hegde,Logistics,107327.4,Central,1.56,5
B0067,Ananya Hegde,Quick Commerce,128427.23,East,4.69,8
B0068,Megha Kapoor,Food Delivery,207556.91,North,3.39,6
B0069,Sanjana Rao,Quick Commerce,658537.47,South,3.34,7
B0070,Aditya Mehta,Quick Commerce,595847.05,Central,2.0,4
B0071,Karthik Patil,Food Delivery,241610.68,South,2.81,7
B0072,Kiran Shinde,Quick Commerce,424959.26,North,1.69,5
B0073,Neha Iyer,Logistics,354778.19,West,1.75,2
B0074,Manoj Rao,Logistics,791372.15,East,3.43,7
B0075,Aditya Mehta,Food Delivery,116154.2,East,3.79,5
B0076,Rohan Jain,Logistics,200661.22,North,2.13,4
B0077,Aditya Mehta,Food Delivery,183850.54,West,1.44,8
B0078,Sanjana Rao,Quick Commerce,539087.9,North,3.72,4
B0079,Pranav Iyer,Food Delivery,357840.59,West,1.08,10
B0080,Rohan Jain,Quick Commerce,361877.14,North,4.74,2
B0081,Aditi Kulkarni,Logistics,251578.92,South,4.88,10
B0082,Manoj Rao,Food Delivery,579795.97,North,1.2,8
B0083,Riya Kulkarni,Quick Commerce,367334.04,North,3.67,10
B0084,Pooja Deshmukh,Food Delivery,166535.11,South,1.77,4
B0085,Manoj Rao,Food Delivery,546279.32,South,1.71,7
B0086,Pooja Deshmukh,Quick Commerce,662136.23,South,3.15,5
B0087,Arjun Shetty,Logistics,66438.45,East,4.67,1
B0088,Arjun Shetty,Quick Commerce,353954.04,East,2.17,6
B0089,Pranav Iyer,Quick Commerce,509570.96,West,1.73,3
B0090,Neha Iyer,Food Delivery,709788.01,Central,4.98,10
B0091,Manoj Rao,Quick Commerce,394276.03,South,3.72,3
B0092,Neha Iyer,Quick Commerce,336090.29,West,1.27,7
B0093,Sanjana Rao,Food Delivery,90256.3,East,3.43,10
B0094,Sneha Joshi,Food Delivery,777013.12,West,3.77,3
B0095,Arjun Shetty,Food Delivery,228421.05,South,2.38,1
B0096,Sanjana Rao,Quick Commerce,62847.93,North,2.55,2
B0097,Rohan Jain,Quick Commerce,131558.37,South,2.13,4
B0098,Pooja Deshmukh,Food Delivery,599372.13,North,3.66,9
B0099,Riya Kulkarni,Logistics,743184.9,East,2.07,4
B0100,Arjun Shetty,Food Delivery,409150.48,North,3.75,1
B0101,Neha Iyer,Quick Commerce,452168.92,East,4.4,1
B0102,Riya Kulkarni,Food Delivery,318683.03,Central,1.8,3
B0103,Sneha Joshi,Logistics,740448.98,North,3.58,2
B0104,Riya Kulkarni,Quick Commerce,158027.72,West,2.4,2
B0105,Rohan Jain,Logistics,519146.79,Central,4.85,2
B0106,Riya Kulkarni,Quick Commerce,775810.86,South,4.59,8
B0107,Pranav Iyer,Food Delivery,731654.33,Central,4.87,5
B0108,Megha Kapoor,Quick Commerce,789681.73,East,4.89,6
B0109,Aditya Mehta,Logistics,536985.76,North,3.61,2
B0110,Arjun Shetty,Quick Commerce,424571.68,South,2.47,8
B0111,Sanjana Rao,Food Delivery,203655.08,West,1.01,10
B0112,Megha Kapoor,Logistics,348884.87,West,2.78,4
B0113,Pooja Deshmukh,Logistics,621283.97,East,3.13,10
B0114,Karthik Patil,Logistics,255891.02,West,1.42,9
B0115,Kiran Shinde,Logistics,721310.45,West,1.47,1
B0116,Aditya Mehta,Quick Commerce,250062.6,North,3.01,10
B0117,Sanjana Rao,Quick Commerce,106618.22,North,3.21,9
B0118,Aditya Mehta,Food Delivery,144308.58,North,4.96,4
B0119,Rohan Jain,Logistics,453038.13,North,1.44,8
