business_id,name,category,revenue,location,rating,priority
B0001,Sneha Joshi,R&D,500250.08,West,1.61,1
B0002,Aditya Mehta,Innovation,567217.18,Central,4.04,4
B0003,Kiran Shinde,Research,736381.7,Central,2.03,8
B0004,Sanjana Rao,R&D,511112.7,North,1.22,10
B0005,Pranav Iyer,Innovation,116849.26,West,4.8,2
B0006,Riya Kulkarni,Innovation,590263.81,Central,1.39,7
B0007,Manoj Rao,R&D,50914.17,South,1.9,5
B0008,Sneha Joshi,Research,377742.71,North,4.82,4
B0009,Aditya Mehta,Innovation,784895.28,North,2.3,4
B0010,Ananya Hegde,Innovation,213281.08,Central,3.85,7
B0011,Neha Iyer,R&D,270036.54,West,4.49,1
B0012,Ananya Hegde,R&D,771818.08,West,2.75,5
B0013,Pooja Deshmukh,Innovation,741032.57,Central,1.61,4
B0014,Aditi Kulkarni,R&D,64572.9,East,4.65,2
B0015,Sanjana Rao,R&D,415168.06,North,4.9,1
B0016,Sanjana Rao,Innovation,600127.42,North,2.03,6
B0017,Aditi Kulkarni,R&D,507446.07,East,1.16,9
B0018,Neha Iyer,Research,123494.59,East,1.48,4
B0019,Riya Kulkarni,Innovation,143813.21,North,2.93,8
B0020,Pooja Deshmukh,R&D,477478.07,Central,4.68,5
B0021,Riya Kulkarni,Research,202467.22,Central,4.03,10
B0022,Riya Kulkarni,Innovation,108696.03,North,1.61,7
B0023,Manoj Rao,Innovation,386815.27,North,1.26,4
B0024,Aditya Mehta,R&D,786483.76,South,1.86,7
B0025,Manoj Rao,Innovation,158358.4,South,1.95,4
B0026,Riya Kulkarni,Research,365144.39,North,2.64,6
B0027,Riya Kulkarni,Research,69597.9,North,4.47,1
B0028,Sanjana Rao,Innovation,500940.27,Central,3.03,2
B0029,Ananya Hegde,R&D,319956.41,North,4.2,2
B0030,Riya Kulkarni,R&D,567673.51,Central,4.03,3
B0031,Megha Kapoor,Innovation,788454.23,Central,2.56,10
B0032,Aditya Mehta,Innovation,140953.46,North,2.71,6
B0033,Riya Kulkarni,Innovation,337858.75,Central,3.3,5
B0034,Sneha Joshi,R&D,119754.34,North,4.27,9
