business_id,name,category,revenue,location,rating,priority
B0001,Karthik Patil,Microfinance,287323.3,South,4.28,7
B0002,Megha Kapoor,Microfinance,785764.2,Central,4.11,4
B0003,Sanjana Rao,Banking,141059.74,Central,2.91,9
B0004,Pooja Deshmukh,Finance,433056.09,South,3.57,6
B0005,Pranav Iyer,Banking,154559.02,North,3.29,10
B0006,Neha Iyer,Microfinance,524954.27,East,2.09,3
B0007,Neha Iyer,Finance,94374.27,West,4.56,3
B0008,Kiran Shinde,Microfinance,267327.7,West,1.32,8
B0009,Aditi Kulkarni,Finance,586979.14,North,3.53,4
B0010,Karthik Patil,Finance,406245.27,West,3.57,10
B0011,Sanjana Rao,Finance,592768.29,West,3.54,9
B0012,Rohan Jain,Finance,250136.25,West,2.27,10
B0013,Megha Kapoor,Banking,767634.25,West,3.75,9
B0014,Kiran Shinde,Banking,710810.11,North,1.63,6
B0015,Ananya Hegde,Microfinance,719086.91,Central,3.13,3
B0016,Pranav Iyer,Finance,73972.92,Central,4.07,2
B0017,Pranav Iyer,Microfinance,519214.11,West,4.36,4
B0018,Sneha Joshi,Finance,429671.45,North,1.98,5
B0019,Pranav Iyer,Finance,311052.76,East,3.83,9
B0020,Aditi Kulkarni,Microfinance,663446.71,North,1.26,8
B0021,Sanjana Rao,Microfinance,256047.83,Central,4.01,8
B0022,Neha Iyer,Microfinance,300168.19,South,3.65,10
B0023,Manoj Rao,Finance,57073.74,South,3.57,4
B0024,Aditya Mehta,Banking,454449.99,South,3.17,6
B0025,Arjun Shetty,Microfinance,712250.25,South,3.74,6
B0026,Sanjana Rao,Microfinance,515201.21,West,1.11,6
B0027,Karthik Patil,Finance,302910.78,North,4.8,4
B0028,Pranav Iyer,Microfinance,750857.0,East,1.07,2
B0029,Manoj Rao,Finance,621191.75,North,2.79,2
B0030,Riya Kulkarni,Banking,561188.6,West,4.67,3
B0031,Kiran Shinde,Banking,642297.95,South,2.04,6
B0032,Kiran Shinde,Banking,443601.66,South,4.4,1
B0033,Neha Iyer,Microfinance,150081.29,South,4.29,3
B0034,Pooja Deshmukh,Microfinance,56264.99,East,2.63,1
B0035,Riya Kulkarni,Microfinance,790911.47,South,2.91,9
B0036,Kiran Shinde,Finance,305009.76,East,4.68,10
B0037,Aditi Kulkarni,Microfinance,648367.33,East,3.75,1
B0038,Arjun Shetty,Microfinance,640808.25,East,2.83,1
B0039,Karthik Patil,Finance,532044.72,Central,1.13,10
B0040,Rohan Jain,Microfinance,363719.24,East,3.37,7
B0041,Riya Kulkarni,Finance,661719.75,East,2.84,4
