business_id,name,category,revenue,location,rating,priority
B0001,Aditi Kulkarni,Travel Tech,689442.16,Central,3.82,9
B0002,Karthik Patil,Digital Service,170217.6,West,2.76,3
B0003,Riya Kulkarni,Tourism,522326.73,East,2.08,8
B0004,Megha Kapoor,Digital Service,409311.86,North,4.29,3
B0005,Manoj Rao,Digital Service,111886.2,East,4.18,7
B0006,Pranav Iyer,Tourism,543576.25,Central,3.2,2
B0007,Arjun Shetty,Travel Tech,197158.58,West,4.54,2
B0008,Riya Kulkarni,Travel Tech,652546.29,South,1.27,2
B0009,Karthik Patil,Digital Service,682983.23,North,3.07,5
B0010,Manoj Rao,Digital Service,636557.56,West,3.07,4
B0011,Pranav Iyer,Digital Service,183398.13,North,2.77,1
B0012,Karthik Patil,Tourism,712613.74,Central,2.61,10
B0013,Ananya Hegde,Digital Service,737579.77,North,1.01,6
B0014,Aditi Kulkarni,Tourism,243916.96,North,1.01,7
B0015,Kiran Shinde,Digital Service,287636.73,South,4.05,2
B0016,Megha Kapoor,Travel Tech,549048.21,East,1.91,8
B0017,Manoj Rao,Travel Tech,747071.44,West,2.16,9
B0018,Sneha Joshi,Travel Tech,233073.13,North,2.72,1
B0019,Manoj Rao,Digital Service,203336.25,East,3.4,4
B0020,Ananya Hegde,Tourism,601371.76,South,3.9,6
B0021,Aditya Mehta,Digital Service,104449.07,North,1.38,9
B0022,Karthik Patil,Tourism,644138.51,West,3.84,6
B0023,Manoj Rao,Tourism,396521.16,West,4.33,4
B0024,Neha Iyer,Digital Service,143252.03,South,4.79,7
B0025,Neha Iyer,Tourism,386809.02,Central,3.39,6
B0026,Manoj Rao,Travel Tech,287544.04,West,2.27,10
B0027,Neha Iyer,Travel Tech,593963.0,West,3.55,7
B0028,Neha Iyer,Digital Service,475401.38,North,3.18,3
B0029,Ananya Hegde,Travel Tech,160005.28,North,4.33,1
B0030,Manoj Rao,Travel Tech,519846.37,Central,2.56,9
B0031,Pooja Deshmukh,Travel Tech,693075.68,Central,4.42,2
B0032,Pranav Iyer,Tourism,708815.12,North,1.69,10
B0033,Aditi Kulkarni,Tourism,77424.67,West,1.02,8
B0034,Megha Kapoor,Travel Tech,689516.62,South,2.23,1
B0035,Aditi Kulkarni,Digital Service,347907.36,North,2.44,7
B0036,Arjun Shetty,Tourism,307530.92,East,1.51,3
B0037,Karthik Patil,Travel Tech,421864.74,South,1.2,7
B0038,Rohan Jain,Tourism,518374.35,Central,2.7,6
B0039,Arjun Shetty,Travel Tech,730300.79,East,1.75,9
B0040,Riya Kulkarni,Tourism,723859.15,North,2.17,2
B0041,Sanjana Rao,Tourism,774168.75,East,2.49,1
B0042,Ananya Hegde,Travel Tech,649194.51,North,2.74,2
B0043,Aditya Mehta,Digital Service,383785.59,East,3.78,9
B0044,Aditi Kulkarni,Tourism,102773.73,North,1.87,10
B0045,Rohan Jain,Tourism,296619.21,North,3.99,7
B0046,Sanjana Rao,Tourism,508931.86,West,4.94,8
B0047,Sanjana Rao,Digital Service,219176.92,South,4.42,9
B0048,Pooja Deshmukh,Digital Service,408148.67,Central,2.41,10
B0049,Ananya Hegde,Digital Service,468373.61,West,1.05,5
B0050,Manoj Rao,Digital Service,256671.2,North,1.68,2
